,Status,X.Freq.2.AnkleLeft,Y.Freq.8.HipRight,Y.Freq.8.KneeLeft,Y.Freq.4.AnkleLeft,Y.Freq.4.FootLeft,Z.Freq.8.SpineShoulder,Y.Freq.8.SpineMid,Y.Freq.6.AnkleRight,Y.Freq.10.AnkleLeft,X.Freq.3.HandLeft,Z.Freq.8.Neck,Y.Freq.4.KneeLeft,X.Freq.2.KneeRight,X.Freq.8.AnkleLeft,X.Freq.8.ElbowRight,Z.Freq.4.AnkleRight,Z.Freq.4.FootRight,X.Freq.1.ShoulderLeft,X.Freq.3.HandTipLeft,Y.Freq.8.KneeRight
118_2_HT.csv,0,-0.3210333487,-0.3230894755,-0.2543679463,-0.0499810221,-0.0023478301,-0.2850344601,-0.244331194,-0.3025933373,-0.3107458495,-0.1265812554,-0.2691103698,-0.3362227614,-0.240160163,-0.0279860098,-0.2528776917,0.8120209953,1.0724469472,-0.2453413172,-0.1266204832,-0.5256165183
118_3_HT.csv,0,0.2950481678,-0.3314050711,0.567310978,0.2317331352,0.6422332648,1.3891675369,-0.138373857,-0.0359371775,0.00752244,-0.1533688219,1.4503862671,-0.3810968722,0.3354100637,0.2449383118,-0.1930495449,2.6708978485,2.232463129,0.4693468971,-0.1430578306,0.7665095987
119_1_HT.csv,1,-0.3437454741,-0.355421471,-0.4301177467,-0.1244300737,-0.0677340392,0.0624802363,-0.2614026113,-0.2068808991,-0.0335479188,-0.1440758612,0.0694956952,-0.2626586985,-0.3500526496,-0.0949433208,-0.2578426622,-0.4410179256,-0.392685586,-0.2467389527,-0.1341004456,-0.2688975305
120_1_HT.csv,1,1.6957141252,-0.0350791631,1.154726178,15.4072588098,15.4643409618,0.0997150469,0.2682550272,13.6490729174,-0.074396202,-0.1464493387,0.0199409711,0.7254570354,0.5276712286,5.9771035247,-0.1996054124,-0.4422904504,-0.3904999028,-0.2086565584,-0.1479107982,0.6663320018
121_1_HT.csv,1,-0.3532693076,-0.3472295213,-0.3760669268,-0.0367247802,0.1357562723,0.2073959506,-0.1758285781,-0.2273896219,1.4136657808,-0.1607804549,0.1520790665,-0.410887772,-0.3337655296,0.0739831263,-0.2507464355,1.9390270495,1.855967007,-0.2298504334,-0.1453383948,0.2816128111
122_1_HT.csv,1,0.0360636169,-0.1255593827,-0.34843444,0.1507040261,0.052864797,1.6506442139,0.0947029825,-0.2748052555,-0.3632827123,0.4541293679,1.8355098548,-0.0327901576,0.5868975283,0.8090498041,0.0050989066,-0.4450881905,-0.4487134468,0.0496694453,0.4408603773,0.2559547906
122_2_HT.csv,0,-0.3614745969,-0.3068100746,-0.1141469084,-0.066879147,-0.0690566637,-0.2386761086,-0.2564674383,-0.1034279995,-0.1595426653,-0.1335026533,-0.2121085245,0.0921063944,-0.0104778157,-0.2697987052,0.0196773567,0.0743862839,-0.0736080002,-0.0847177822,-0.1275106144,0.0315764526
122_3_HT.csv,0,0.1652908626,-0.2695474644,0.6394361641,0.8722091248,0.5117853486,-0.2346185323,-0.2208621393,1.4177784297,-0.2542892136,-0.1356850876,-0.2425716678,1.3575462896,-0.1859358665,1.0240464456,-0.1374799923,1.3821572694,1.0363871662,-0.131556649,-0.1323435194,0.2821435294
123_1_HT.csv,1,0.5454207547,-0.1607512483,-0.3919334239,-0.1343952111,0.1220589041,0.6075480015,-0.2591542399,0.3704117873,-0.3331777384,2.6774564233,0.4393023185,-0.1945043551,-0.0027585973,-0.3424749175,-0.1489391915,0.4891352439,0.4309600564,0.0929375166,2.4136522017,-0.1482871055
123_2_HT.csv,0,-0.2445211079,-0.1284278989,0.3233113793,0.0130562335,-0.0871675477,-0.0164487262,-0.2130863668,0.1750207907,0.6352602741,-0.0711905062,-0.0489821932,-0.1561226605,-0.2187097981,0.0494064666,0.0599366693,0.9242763133,0.7812964296,0.4884652231,-0.0870082391,0.4297899714
123_3_HT.csv,1,-0.319516284,0.7497804766,5.2396507731,0.3130585266,0.4956281692,0.8992777019,0.0226129713,-0.1782817169,-0.3776804637,-0.1634993921,0.8057991435,3.8500526412,0.246048796,2.8858948788,-0.1675062978,2.3091752071,1.7795009325,-0.1974246326,-0.1512517526,3.1743222663
124_1_HT.csv,1,-0.3612221402,0.4781189874,1.1153496483,0.3498314882,0.3340895773,-0.2986396718,-0.2459965955,-0.141373173,0.5038893736,-0.1629894595,-0.2076273409,5.0862214455,-0.2451048895,4.4313552467,0.0986810157,0.8701779438,0.5223353524,-0.192584278,-0.1519743829,3.9453196565
125_1_HT.csv,1,0.1333987759,0.6178586371,1.556481145,-0.0495813228,-0.1640607389,0.3084596072,0.7613749736,-0.1975853948,1.5961235008,0.0148478517,0.2981989479,4.3445756916,0.2005747584,2.0613562524,0.955987331,-0.1465461753,-0.3795838731,-0.0272385161,-0.0075472912,0.0186839374
125_2_HT.csv,0,-0.2999213593,-0.2161245148,0.3522183283,-0.1799391188,0.034552553,0.0192059435,-0.209481935,-0.2938154755,0.1075483962,-0.1578968231,0.0223718611,-0.4659812537,-0.1693780852,-0.2962841627,-0.2607718942,-0.4776970673,-0.4622702267,-0.126484973,-0.1484903334,-0.1717829891
125_3_HT.csv,0,-0.3233997477,-0.1323829654,0.0134317975,-0.1786740557,-0.1612431137,-0.1421530851,-0.1766003472,0.9564643642,-0.2665772147,-0.1388133309,-0.166355434,-0.1455536386,-0.0046027753,-0.0138481354,-0.1933061501,-0.1658648093,-0.1672097966,-0.1763117708,-0.1389668963,0.8089803546
126_1_HT_kinda.csv,1,-0.392072641,-0.3336333629,-0.3980438824,-0.0504014426,-0.0141854944,-0.3545642727,-0.2676432533,0.4891640474,0.0081449128,-0.1629241551,-0.3327158887,-0.381453058,-0.3323671862,-0.3755500191,-0.2553019759,-0.3380942378,-0.3007954091,-0.2549178273,-0.1514095374,-0.0658748184
126_3_HT.csv,0,-0.3313529704,-0.2418233218,0.9943744574,-0.0602134298,0.0181107733,-0.0200443502,-0.2502403041,-0.0453996687,-0.24606734,-0.1509279571,-0.0304575129,0.4523124149,-0.3120362114,-0.2733969586,-0.2567630827,0.146596645,0.2602322175,-0.2215552893,-0.137641065,1.111907978
127_2_HT.csv,0,0.208444657,0.8289819371,2.3503317378,0.4336496522,-0.1628844404,0.3666121559,0.5986445472,-0.158131258,-0.2472999302,-0.1433729574,0.3032155517,0.8530658169,-0.0851626821,0.8204902257,-0.0683563732,2.9222659461,2.186551897,-0.07475288,-0.1323487733,4.1558888453
127_3_HT.csv,0,-0.2047539808,-0.3308167577,0.5310127469,-0.0980891127,0.5218242746,-0.0828619407,-0.2355454734,-0.1114285996,0.2643408558,-0.1520884194,-0.1096068025,-0.2921655495,-0.1699627659,-0.3248683256,-0.2239238058,-0.2598875043,-0.1134093914,-0.2308602391,-0.1429911911,-0.2488787053
128_2_HT.csv,0,-0.3515085033,-0.0373099786,1.3159908137,0.3081367091,0.0706791674,-0.0426777516,-0.2258451793,0.0676681461,-0.1913126089,-0.1362439044,-0.0508746958,3.5277401012,-0.3513632347,-0.2538007969,-0.2088971395,0.5360636246,0.6324697387,0.1972497745,-0.1216188806,-0.3171181909
129_1_HT.csv,1,0.1049949134,-0.3557756145,-0.0693731888,-0.1483838452,-0.1490352887,0.1189467341,-0.2618949309,-0.2322295907,-0.3929766906,-0.1469067816,0.0544039159,0.2752316252,-0.1357271138,-0.0316747285,-0.2105923206,-0.4299205814,-0.408447144,-0.2240628484,-0.1385020701,-0.5410965341
129_3_HT_beginning.csv,0,-0.3341640414,-0.3336203922,0.5611016086,-0.1752199498,-0.1613567164,-0.3468925996,-0.2421139703,-0.0183347555,-0.0612167578,-0.147699881,-0.3257462693,-0.4129080769,-0.3106185175,0.2334203749,-0.2521609114,-0.4827484597,-0.4631322213,-0.2476105953,-0.1336828072,-0.4829006089
129_4_HT.csv,0,0.0566809467,0.2547242972,0.1021812845,0.0995969568,0.0027703092,-0.2001526796,-0.0778422397,0.0564265667,0.1895777498,-0.1287192408,-0.1619021042,0.1418781389,0.0307720292,-0.3194026101,-0.0725772676,-0.4346801266,-0.3755481115,-0.1180781491,-0.1191451645,0.9877868274
130_1_HT.csv,1,0.5769622191,-0.2710447041,0.2504408107,-0.1721473881,-0.1332546672,0.6451620011,0.0418688612,0.0733146852,-0.3958582564,0.354674403,0.5850641048,-0.3031524859,-0.0923926556,-0.1507401731,1.6605874339,0.1331895849,-0.205237675,-0.0999562146,0.2816210422,0.3084000669
130_3_HT.csv,0,-0.3513945538,4.2790041696,3.2495771336,-0.1194432166,-0.0759812896,7.8808433514,2.6750472658,1.155710729,-0.1256317025,1.4057687642,7.9200683954,1.9844511833,2.8270544089,1.9727725319,0.9201097189,1.058462277,0.613917969,12.7665228026,0.7009564543,0.4978971969
131_3_HT.csv,0,-0.3636412482,-0.3328278792,-0.1879233249,-0.1080184367,-0.14557627,-0.3111049273,-0.2551912371,-0.2947773872,-0.006827164,-0.1593894713,-0.2988637597,-0.2958771475,-0.2609598218,-0.0874895719,-0.244930487,0.2556651389,0.1296102064,-0.2145662234,-0.1486901352,-0.3007101932
132_1_HT.csv,1,0.5886014988,0.2281651729,8.0206772849,-0.1611632311,-0.1236136921,-0.3506075995,0.0333861612,0.8371320352,-0.1534408556,-0.1594193515,-0.3315467182,-0.4311782734,-0.0204335115,2.3209456555,-0.2127789968,-0.3696274299,-0.3523527866,0.7879806499,-0.134172589,-0.2755262931
133_3_HT.csv,0,-0.2374189396,-0.208448875,0.2367781543,-0.1146294937,-0.0938333328,-0.0747572102,-0.1864117113,-0.2491496408,-0.3494913158,-0.0834346935,-0.1024129274,-0.4522167875,0.1876790856,-0.1029658849,-0.2113160076,-0.07307843,-0.136700909,-0.1535633203,-0.080432454,-0.3619943591
134_1_HT.csv,1,-0.2784168802,-0.3383502412,-0.3982647501,-0.1714629182,-0.1407677827,-0.293016319,-0.2588063267,-0.2976038911,-0.2195714606,-0.1132923917,-0.2687885057,-0.4516696344,0.0630961936,-0.3528030709,-0.2433566616,-0.1913597676,-0.2518004073,-0.2419450957,-0.0947535354,-0.4973044711
134_3_HT.csv,0,0.0889034402,0.5526000293,2.0404715834,0.0265847746,-0.1733657654,0.4793949076,0.3107906837,-0.0471005506,0.1143654444,-0.1306888891,0.3459713711,2.5942523707,-0.3494545134,-0.368117106,-0.1188157308,6.1448921051,4.5466669476,-0.2266109081,-0.1180744982,2.0302598097
135_1_HT.csv,1,0.5465188122,3.2688274856,4.3430456625,0.0410062708,0.1343004167,1.7497208838,1.3758589986,0.2854368121,2.5715127065,0.4408169539,1.5090556669,1.7869760576,0.1640610731,0.2694078965,3.4369454994,-0.4748811455,-0.4291442708,-0.0063453325,0.4137683476,-0.2019448756
135_3_HT.csv,1,-0.1832617596,2.8044937787,-0.3407551037,1.7388415176,1.1589382689,4.9358580503,10.044657303,3.7023978055,2.8814780197,-0.1410691925,4.3802269803,0.0662638638,0.2941327468,4.0421333253,2.1539200186,0.3578254524,0.2031235024,2.5505578725,-0.1133967445,0.6366403632
135_4_HT.csv,0,-0.2767645561,-0.226092164,1.3142442443,0.292239852,0.4136409197,-0.0817185242,-0.2016913707,0.055793331,0.2364092927,14.3909464476,-0.121045283,3.8832858277,-0.2515914782,-0.2360820831,1.2619848873,0.534947207,0.1882478342,1.5097518214,14.6077199682,1.1477579185
135_5_HT.csv,0,0.4779282827,4.5962855371,1.1430206915,-0.0638880159,-0.1044995657,0.7882055005,0.691985549,-0.0124246247,1.5953739041,-0.0321221816,0.7508341367,-0.4620908253,-0.2377185466,-0.2051433862,0.0887329354,-0.2754501816,-0.0843649194,2.4523412377,-0.0676065238,0.7622707214
136_2_HT.csv,0,-0.3372165318,-0.3035113039,-0.2845374805,-0.1385625627,-0.0695673934,-0.327328294,-0.2347412009,0.913229668,-0.2290369549,-0.1605949717,-0.3057765663,-0.0401354343,0.4407228349,-0.3941981266,-0.2366509312,-0.4155148582,-0.4780867467,-0.2407211935,-0.1493880646,-0.1323352474
136_3_HT.csv,0,1.477977496,-0.2640755352,1.9214888079,0.1911474407,-0.0873586669,0.4131218663,-0.2023500899,-0.3211482481,-0.4022282704,-0.1316539096,0.3557252876,0.5055997827,-0.1865476016,1.7598655835,-0.2209904655,-0.502263501,-0.4776644045,-0.1360957489,-0.1220759671,-0.5244248691
137_3_HT.csv,0,-0.3148865583,-0.2388067626,-0.025413276,0.2965064304,0.2427366578,-0.1690390251,-0.1408876456,0.1463353953,3.359116442,-0.1600222987,-0.1233619869,0.6765970948,-0.3500607801,0.4315852458,-0.1925007831,-0.2051424828,-0.2769229436,0.4008479917,-0.1504533528,-0.3995003996
138_3_HT.csv,0,0.2310987312,-0.0810408251,-0.4218375983,0.1452280093,0.3587743989,-0.0172400057,-0.238301145,-0.1847153956,-0.2490380952,0.9476777224,-0.0584422044,1.5740230064,-0.3068222878,0.2867847342,0.5575146088,2.0140655924,1.9966339587,0.2569781993,1.0701200404,0.3823006457
139_1_HT.csv,1,-0.3048851637,-0.3466500828,0.5285010375,-0.1743295467,-0.1277600339,-0.3356391456,-0.174418522,-0.1588679416,0.9171901776,-0.1530428966,-0.3186510086,-0.1340076734,-0.2637321638,0.2654156807,-0.2263574067,1.5400586392,1.5254406419,-0.2416171825,-0.1489660597,-0.2345416372
139_3_HT.csv,0,0.1455954005,-0.342229789,-0.4476879167,-0.169977696,-0.1775545877,-0.3274133906,-0.25946232,0.4363733605,1.344846677,-0.1601117175,-0.3057520987,-0.3585353677,-0.2850111722,0.1592607358,-0.1805626642,-0.4762380198,-0.4597754546,-0.1747991471,-0.1517940157,0.0928436205
139_4_HT.csv,1,-0.0677126529,1.1555473811,0.1202746221,-0.1576007866,-0.1295879063,0.3269416417,0.7869418093,-0.3067344112,0.4596041626,-0.1510418039,0.2836743351,0.0451732837,-0.22793953,0.8699455068,-0.2559579356,2.7151652847,2.6436359828,-0.2333197337,-0.144535538,2.501609138
139_5_HT.csv,0,-0.3948521202,-0.2458990558,0.7117414253,-0.1754627255,-0.1496236646,-0.3116186348,-0.1289312281,-0.0167275021,0.7690801767,-0.1580976177,-0.2858982191,-0.4643685141,-0.2813523211,-0.2655801006,-0.2476538698,-0.4735152681,-0.4629990648,-0.2377719251,-0.1461540179,-0.1705604318
140_1_HT.csv,1,1.6196695128,2.6503741729,0.6239916907,-0.1408268726,-0.1330320303,-0.3483982578,1.5821388017,-0.3213929843,10.466539576,0.0995546819,-0.3215001988,-0.3661969296,2.4406520006,5.4355750813,-0.1778842594,-0.4930322967,-0.4293366599,-0.1662549927,0.0679962145,-0.3303143522
140_2_HT.csv,0,0.0974857775,1.1173553425,3.5326308449,0.9441039479,0.9329444802,0.7959579257,1.4190015879,0.2678340281,-0.2672189976,-0.1392970328,0.7076669198,4.8913363089,-0.2859248066,1.4025961764,0.8147308109,7.1163995411,9.7790570977,-0.1047234382,-0.1383453436,2.5808624452
140_3_HT.csv,0,-0.2031459016,-0.1006661333,0.9937443819,0.3917773533,0.4837073908,-0.224313069,0.0371151729,0.5963041613,0.9007928837,-0.1499455125,-0.2589357976,0.3092716253,0.8266264092,0.924005476,-0.1770219118,1.5427152974,1.1974140925,-0.2123936351,-0.1356026601,4.9614146191
141_1_HT.csv,1,0.9566910725,-0.274616284,-0.3476241632,-0.1726375081,-0.1777182141,-0.3408123308,-0.2641189334,-0.1880935504,-0.2817383921,0.0018052041,-0.2837728287,-0.3262415109,0.0512908699,-0.1247875195,0.1722916669,-0.3522212708,-0.3801384012,0.5365528647,-0.0108471312,-0.4828648289
141_2_HT.csv,0,-0.2769011799,-0.3384169451,-0.4438816111,-0.1765093042,-0.1657273385,-0.3507581863,-0.2634432559,-0.3234724869,-0.3641863299,-0.1381582917,-0.3285026744,-0.4727522303,-0.1575577207,-0.3042450943,-0.2606508759,-0.4570446578,-0.4353258792,-0.1898437963,-0.1303782108,-0.4893938761
141_3_HT.csv,1,-0.3582462668,-0.3020587666,-0.4525083256,-0.1755158585,-0.1539600051,-0.3312990374,-0.22872741,0.2958787409,-0.1925251761,0.0003605208,-0.3095757482,-0.4644434962,-0.3372216312,-0.2457128614,-0.2352189634,-0.1282330231,-0.0696648289,-0.1153878698,-0.0049575396,-0.489998141
142_1_HT.csv,1,0.2227028567,-0.2161595987,-0.3345865744,-0.1503006321,-0.1259907614,-0.1835714814,-0.2668567213,-0.0296943773,-0.3556229522,0.5034996553,-0.162009898,-0.1601766037,-0.0777222967,0.0879496072,-0.2343879226,-0.4048611147,-0.3988277005,-0.0508011427,0.460772086,-0.4694560899
143_1_HT.csv,1,0.7199068458,1.3657396703,-0.4346982401,0.1944581676,0.2844771863,0.3372830643,0.3441764453,-0.3235046193,0.2186219877,0.0376459773,0.4554070128,0.672049373,0.0824075154,0.128077074,0.1083281214,0.8792824175,0.9366402047,-0.2396850217,-0.0105333005,3.0861757752
143_2_HT.csv,0,-0.2773862782,1.0952249782,-0.2266877267,0.4410029639,-0.0205299142,-0.3356176893,0.1541423353,0.0701165114,1.7491388878,0.9539568015,-0.3279837201,1.4386231791,2.4975536807,-0.3230995568,0.6771846298,2.0198318291,2.063992092,1.9880775478,0.6981090238,1.6005497712
143_3_HT.csv,0,-0.1277887398,-0.0903703077,0.768414748,0.2211285473,-0.0222303232,-0.284658817,-0.079579021,-0.3157898692,-0.3102649287,-0.1134570665,-0.2730493861,0.4298218715,-0.2473163097,-0.1060570783,-0.1716253562,1.1365250092,1.3324206612,0.0517893622,-0.094253696,-0.3801854571
144_1_HT.csv,1,-0.1866921049,-0.2931462242,-0.3749968304,-0.1727437391,-0.1796109745,-0.2464708463,-0.1841730713,-0.2664734605,-0.366253106,-0.0811197603,-0.2420147679,-0.3914778127,-0.3349920007,-0.2052686025,0.1454519371,-0.5065242901,-0.4873916629,0.9642312419,-0.0858785769,-0.5071234481
144_2_HT.csv,0,-0.3508488316,-0.2922048538,-0.385691114,-0.1303473577,-0.1643484927,-0.2606373571,-0.2586381904,-0.2756229079,-0.2693279824,-0.15740038,-0.2455935252,-0.4354098066,-0.3570896115,-0.2817831402,-0.2266965915,-0.2377844031,-0.2248874933,-0.2131173646,-0.1486143488,-0.2547339786
144_3_HT.csv,0,-0.3705656149,-0.3415890404,-0.410833437,-0.1369675209,-0.1258977514,-0.3006163276,-0.2663183343,-0.2971915174,-0.0288246605,0.1553288066,-0.2728289146,-0.2121324849,-0.2959390651,-0.1668627388,0.1832843631,-0.4761045537,-0.442812051,-0.1288848629,0.1386321986,-0.2681533991
144_4_HT.csv,0,-0.2762653726,-0.3444940339,-0.2124371164,0.0858085298,-0.0626332316,-0.2236737098,-0.2444806885,-0.2307650802,-0.1337188494,-0.1551295997,-0.2069926859,0.0669150923,-0.3329276633,-0.1403716253,-0.2373006699,-0.420315473,-0.3825561099,-0.2490977576,-0.1466044694,0.6289389621
145_1_HT.csv,1,-0.3956249712,-0.3495521063,-0.459676246,-0.1801843595,-0.1832731818,-0.3544255337,-0.2558199979,-0.3253412193,-0.4043232064,-0.1635287527,-0.3321896294,-0.4907569577,-0.3608687596,-0.4204155359,-0.2617568588,-0.5156281979,-0.4939605675,-0.2527728165,-0.1528883068,-0.5437315174
145_2_HT.csv,0,-0.3806117238,-0.2914217359,-0.0327759537,-0.1126216021,-0.1096835914,-0.135608699,-0.2093904223,-0.1767596745,-0.3409451155,-0.154473529,-0.1260911644,-0.1867953094,-0.3205422829,-0.374606753,-0.2596138943,-0.4120370767,-0.4095902788,-0.212658374,-0.1424893887,-0.4568710765
145_3_HT.csv,0,-0.3966420868,-0.1291707469,1.4627986495,-0.120974625,-0.1425480787,-0.0703443376,-0.1434664754,-0.0078871668,-0.3125726323,-0.1541538909,-0.0855951733,0.4737897731,-0.3085093418,-0.3574152097,-0.2519305769,1.2574418315,1.1852655257,-0.1861017357,-0.1428881792,0.2028201585
146_1_HT.csv,1,0.0735573553,2.0211610181,0.1382935894,-0.0959135436,-0.1386435498,0.0163607566,1.0666614974,-0.1051111227,0.2831986152,-0.0648304476,-0.0401444099,0.199712035,1.0436892753,1.1364831085,-0.0274516696,-0.4670769372,-0.4608458326,-0.2524995854,-0.0210610324,0.1017488831
146_2_HT.csv,0,-0.1891037756,-0.2000542459,-0.309276907,-0.0850535792,-0.0555763899,-0.3200356487,-0.1960589071,-0.2318522657,-0.3913874824,-0.1509459346,-0.3006689392,-0.1820076461,-0.2289276996,-0.3987940143,-0.2186381761,0.0805418343,0.1576899494,-0.0840419031,-0.1394916091,-0.2233535368
146_3_HT.csv,0,-0.2042401208,-0.2517775696,0.6495523604,0.0196417338,-0.14716379,-0.3088786666,-0.1941954576,-0.189424082,-0.3145599757,-0.1166082696,-0.2893267429,0.3036634081,-0.2704200826,0.5568586981,-0.2256628069,1.1011181434,0.9585649817,-0.1990169019,-0.1111500798,-0.4122666053
